trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
7865010,12,5,"Oakland Amtrak at Jack London Square",,0,12002,shp-12-07,0,0
5809020,12,4,"Oakland Amtrak at Jack London Square",,0,12007,shp-12-07,0,0
12835020,12,4,"Oakland Amtrak at Jack London Square",,0,12002,shp-12-07,0,0
4201020,12,4,"Oakland Amtrak at Jack London Square",,0,12007,shp-12-07,0,0
3256070,12,6,"Oakland Amtrak at Jack London Square",,0,12004,shp-12-07,0,0
12320010,12,5,"Oakland Amtrak at Jack London Square",,0,12006,shp-12-07,0,0
12682010,12,5,"Oakland Amtrak at Jack London Square",,0,12004,shp-12-07,0,0
8738070,12,6,"Oakland Amtrak at Jack London Square",,0,12004,shp-12-07,0,0
9183010,12,5,"Oakland Amtrak at Jack London Square",,0,12006,shp-12-07,0,0
6745070,12,6,"Oakland Amtrak at Jack London Square",,0,12005,shp-12-07,0,0
7755070,12,6,"Oakland Amtrak at Jack London Square",,0,12006,shp-12-07,0,0
10299010,12,5,"Oakland Amtrak at Jack London Square",,0,12004,shp-12-07,0,0
10345010,12,5,"Oakland Amtrak at Jack London Square",,0,12002,shp-12-07,0,0
6804020,12,4,"Oakland Amtrak at Jack London Square",,0,12003,shp-12-07,0,0
5273010,12,5,"Oakland Amtrak at Jack London Square",,0,12006,shp-12-07,0,0
9974070,12,6,"Oakland Amtrak at Jack London Square",,0,12003,shp-12-07,0,0
13395070,12,6,"Oakland Amtrak at Jack London Square",,0,12001,shp-12-07,0,0
11944020,12,4,"Oakland Amtrak at Jack London Square",,0,12005,shp-12-07,0,0
265010,12,5,"Oakland Amtrak at Jack London Square",,0,12004,shp-12-07,0,0
13622020,12,4,"Oakland Amtrak at Jack London Square",,0,12004,shp-12-07,0,0
2416070,12,6,"Oakland Amtrak at Jack London Square",,0,12002,shp-12-07,0,0
9307070,12,6,"Oakland Amtrak at Jack London Square",,0,12006,shp-12-07,0,0
653010,12,5,"Oakland Amtrak at Jack London Square",,0,12006,shp-12-07,0,0
3358070,12,6,"Oakland Amtrak at Jack London Square",,0,12001,shp-12-07,0,0
2854010,12,5,"Oakland Amtrak at Jack London Square",,0,12001,shp-12-07,0,0
13198070,12,6,"Oakland Amtrak at Jack London Square",,0,12008,shp-12-07,0,0
12599010,12,5,"Oakland Amtrak at Jack London Square",,0,12007,shp-12-07,0,0
2853020,12,4,"Oakland Amtrak at Jack London Square",,0,12002,shp-12-07,0,0
590010,12,5,"Oakland Amtrak at Jack London Square",,0,12002,shp-12-07,0,0
5186070,12,6,"Oakland Amtrak at Jack London Square",,0,12001,shp-12-07,0,0
11422070,12,6,"Oakland Amtrak at Jack London Square",,0,12005,shp-12-07,0,0
2610010,12,5,"Oakland Amtrak at Jack London Square",,0,12005,shp-12-07,0,0
2112010,12,5,"Oakland Amtrak at Jack London Square",,0,12006,shp-12-07,0,0
2710010,12,5,"Oakland Amtrak at Jack London Square",,0,12003,shp-12-07,0,0
13837010,12,5,"Oakland Amtrak at Jack London Square",,0,12001,shp-12-07,0,0
7934070,12,6,"Oakland Amtrak at Jack London Square",,0,12003,shp-12-07,0,0
10804020,12,4,"Oakland Amtrak at Jack London Square",,0,12001,shp-12-07,0,0
2202020,12,4,"Oakland Amtrak at Jack London Square",,0,12002,shp-12-07,0,0
12282010,12,5,"Oakland Amtrak at Jack London Square",,0,12001,shp-12-07,0,0
11096020,12,4,"Oakland Amtrak at Jack London Square",,0,12003,shp-12-07,0,0
874020,12,4,"Oakland Amtrak at Jack London Square",,0,12004,shp-12-07,0,0
2883070,12,6,"Oakland Amtrak at Jack London Square",,0,12003,shp-12-07,0,0
13915070,12,6,"Oakland Amtrak at Jack London Square",,0,12004,shp-12-07,0,0
11436010,12,5,"Oakland Amtrak at Jack London Square",,0,12004,shp-12-07,0,0
2770020,12,4,"Oakland Amtrak at Jack London Square",,0,12009,shp-12-07,0,0
8130020,12,4,"Oakland Amtrak at Jack London Square",,0,12005,shp-12-07,0,0
179020,12,4,"Oakland Amtrak at Jack London Square",,0,12005,shp-12-07,0,0
6818020,12,4,"Oakland Amtrak at Jack London Square",,0,12006,shp-12-07,0,0
4109020,12,4,"Oakland Amtrak at Jack London Square",,0,12008,shp-12-07,0,0
3848020,12,4,"Oakland Amtrak at Jack London Square",,0,12007,shp-12-07,0,0
9425020,12,4,"Oakland Amtrak at Jack London Square",,0,12003,shp-12-07,0,0
8830070,12,6,"Oakland Amtrak at Jack London Square",,0,12001,shp-12-07,0,0
3477070,12,6,"Oakland Amtrak at Jack London Square",,0,12004,shp-12-07,0,0
4799020,12,4,"Oakland Amtrak at Jack London Square",,0,12003,shp-12-07,0,0
2400010,12,5,"Oakland Amtrak at Jack London Square",,0,12002,shp-12-07,0,0
5884070,12,6,"Oakland Amtrak at Jack London Square",,0,12005,shp-12-07,0,0
3769070,12,6,"Oakland Amtrak at Jack London Square",,0,12008,shp-12-07,0,0
11919070,12,6,"Oakland Amtrak at Jack London Square",,0,12005,shp-12-07,0,0
9806010,12,5,"Oakland Amtrak at Jack London Square",,0,12005,shp-12-07,0,0
8068020,12,4,"Oakland Amtrak at Jack London Square",,0,12003,shp-12-07,0,0
13018020,12,4,"Oakland Amtrak at Jack London Square",,0,12001,shp-12-07,0,0
11368070,12,6,"Oakland Amtrak at Jack London Square",,0,12004,shp-12-07,0,0
